2017, 46, kaist - korea advanced institute of science & technology, 78, https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology, South Korea, Daejeon, Asia
2017, -, king abdullah university of science & technology (kaust), 0, https://www.topuniversities.com/universities/king-abdullah-university-science-technology-kaust, Saudi Arabia, Thuwal, Asia
2017, 21, king's college london, 88, https://www.topuniversities.com/universities/kings-college-london, United Kingdom, London, Europe
2017, 98, kit|| karlsruhe institute of technology, 63, https://www.topuniversities.com/universities/kit-karlsruhe-institute-technology, Germany, Karlsruhe, Europe
2017, 98, korea university, 63, https://www.topuniversities.com/universities/korea-university, South Korea, Seoul, Asia
2017, 97, kth royal institute of technology , 63, https://www.topuniversities.com/universities/kth-royal-institute-technology, Sweden, Stockholm, Europe
2017, 79, ku leuven, 68, https://www.topuniversities.com/universities/ku-leuven, Belgium, Leuven, Europe
2017, 37, kyoto university, 82, https://www.topuniversities.com/universities/kyoto-university, Japan, Kyoto, Asia
2017, 135, kyushu university, 57, https://www.topuniversities.com/universities/kyushu-university, Japan, Fukuoka City, Asia
2017, 129, lancaster university, 58, https://www.topuniversities.com/universities/lancaster-university, United Kingdom, Lancaster, Europe
2017, 102, leiden university, 63, https://www.topuniversities.com/universities/leiden-university, Netherlands, Leiden, Europe
2017, 108, lomonosov moscow state university, 62, https://www.topuniversities.com/universities/lomonosov-moscow-state-university, Russia, Moscow, Europe
2017, 68, ludwig-maximilians-universität münchen, 70, https://www.topuniversities.com/universities/ludwig-maximilians-universitat-munchen, Germany, Munich, Europe
2017, 73, lund university, 69, https://www.topuniversities.com/universities/lund-university, Sweden, Lund, Europe
2017, 1, massachusetts institute of technology (mit) , 100, https://www.topuniversities.com/universities/massachusetts-institute-technology-mit, United States, Cambridge, North America
2017, 30, mcgill university, 84, https://www.topuniversities.com/universities/mcgill-university, Canada, Montreal, North America
2017, 149, mcmaster university, 54, https://www.topuniversities.com/universities/mcmaster-university, Canada, Hamilton, North America
2017, 65, monash university, 72, https://www.topuniversities.com/universities/monash-university, Australia, Melbourne, Oceania
2017, 115, nagoya university, 60, https://www.topuniversities.com/universities/nagoya-university, Japan, Nagoya, Asia
2017, 115, nanjing university, 60, https://www.topuniversities.com/universities/nanjing-university, China (Mainland), Nanjing, Asia
2017, 68, national taiwan university (ntu), 70, https://www.topuniversities.com/universities/national-taiwan-university-ntu, Taiwan, Taipei City, Asia
2017, 151, national tsing hua university, 54, https://www.topuniversities.com/universities/national-tsing-hua-university, Taiwan, Hsinchu City, Asia
2017, 12, national university of singapore (nus), 92, https://www.topuniversities.com/universities/national-university-singapore-nus, Singapore, Singapore, Asia
2017, 46, new york university (nyu), 78, https://www.topuniversities.com/universities/new-york-university-nyu, United States, New York City, North America
2017, 26, northwestern university, 86, https://www.topuniversities.com/universities/northwestern-university, United States, Evanston, North America
2017, 63, osaka university, 72, https://www.topuniversities.com/universities/osaka-university, Japan, Osaka City, Asia
2017, 39, peking university, 81, https://www.topuniversities.com/universities/peking-university, China (Mainland), Beijing, Asia
2017, 95, pennsylvania state university, 64, https://www.topuniversities.com/universities/pennsylvania-state-university, United States, University Park, North America
2017, 83, pohang university of science and technology (postech), 67, https://www.topuniversities.com/universities/pohang-university-science-technology-postech, South Korea, Pohang , Asia
2017, 147, pontificia universidad católica de chile (uc), 55, https://www.topuniversities.com/universities/pontificia-universidad-cat%C3%B3lica-de-chile-uc, Chile, Santiago, Latin America
2017, -, prague university of economics and business, 0, https://www.topuniversities.com/universities/prague-university-economics-business, Czech Republic, Prague, Europe
2017, 11, princeton university, 93, https://www.topuniversities.com/universities/princeton-university, United States, Princeton, North America
2017, 92, purdue university, 65, https://www.topuniversities.com/universities/purdue-university, United States, West Lafayette, North America
2017, 123, queen mary university of london, 59, https://www.topuniversities.com/universities/queen-mary-university-london, United Kingdom, London, Europe
2017, 90, rice university, 65, https://www.topuniversities.com/universities/rice-university, United States, Houston, North America
2017, 72, ruprecht-karls-universität heidelberg, 70, https://www.topuniversities.com/universities/ruprecht-karls-universitat-heidelberg, Germany, Heidelberg, Europe
2017, 146, rwth aachen university, 55, https://www.topuniversities.com/universities/rwth-aachen-university, Germany, Aachen, Europe
2017, 35, seoul national university, 82, https://www.topuniversities.com/universities/seoul-national-university, South Korea, Seoul, Asia
2017, 61, shanghai jiao tong university, 72, https://www.topuniversities.com/universities/shanghai-jiao-tong-university, China (Mainland), Shanghai, Asia
